doctor_id,doctor_name,specialty,state,total_rx,total_revenue
DR0058,Dr. Helen Rogers,Oncology,Pennsylvania,525,7758870.57
DR0061,Dr. Barbara Hall,Oncology,Pennsylvania,497,7422664.0
DR0055,Dr. Edward Nguyen,Oncology,Arizona,478,7037462.42
DR0049,Dr. Raymond Brown,Rheumatology,North Carolina,995,6791596.94
DR0063,Dr. George Perez,Oncology,Arizona,421,6193058.1
DR0059,Dr. Stephanie Cook,Oncology,Illinois,391,5787632.19
DR0060,Dr. Catherine Rivera,Oncology,Illinois,345,5111713.64
DR0013,Dr. Gregory Harris,Primary Care / Internal Medicine,Pennsylvania,7154,5061148.69
DR0004,Dr. Laura Mendoza,Primary Care / Internal Medicine,New York,7011,4908479.05
DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,6326,4481476.45
DR0009,Dr. Shirley Torres,Primary Care / Internal Medicine,Illinois,6302,4468676.42
DR0026,Dr. Donna Lee,Endocrinology,Pennsylvania,5236,4244412.3
DR0015,Dr. Michelle Miller,Primary Care / Internal Medicine,Florida,5901,4171434.93
DR0017,Dr. Frank Morgan,Endocrinology,Illinois,5049,4038996.69
DR0053,Dr. Ryan Rivera,Oncology,Arizona,268,3991431.85
DR0040,Dr. Matthew Hernandez,Rheumatology,Texas,583,3955360.62
DR0042,Dr. Raymond Gomez,Rheumatology,North Carolina,581,3932047.63
DR0056,Dr. Steven Thomas,Oncology,Texas,261,3860328.79
DR0003,Dr. Larry Jackson,Primary Care / Internal Medicine,Arizona,5420,3807337.76
DR0046,Dr. Gary Williams,Rheumatology,Arizona,542,3681709.06
DR0041,Dr. Jonathan Collins,Rheumatology,North Carolina,532,3619880.25
DR0023,Dr. Carol Miller,Endocrinology,Pennsylvania,4464,3606199.43
DR0057,Dr. Robert Martinez,Oncology,Ohio,235,3519083.29
DR0025,Dr. Elizabeth Morris,Endocrinology,Texas,4268,3446026.25
DR0078,Dr. Maria Morgan,Infectious Disease,Florida,882,3356650.59
DR0048,Dr. Mark Torres,Rheumatology,Ohio,487,3288237.06
DR0011,Dr. Daniel Rodriguez,Primary Care / Internal Medicine,Florida,4402,3107143.19
